Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124539-85137,SG/SF,Duncan,Duncan Robinson,Robinson,21.84166717529297,24,4300,DET@DAL,DET,DAL,,,,,,SG/SF
124539-157848,SF/PF,Herbert,Herbert Jones,Jones,21.347368742290296,19,4300,HOU@NO,NO,HOU,,,,,,SF/PF
124539-160174,SG,Jordan,Jordan Goodwin,Goodwin,20.17391304347826,23,4300,GS@PHO,PHO,GS,,,,,,SG
124539-15846,SF/SG,Tim,Tim Hardaway,Hardaway,18.56800048828125,25,4300,ORL@DEN,DEN,ORL,Q,Illness,,,,SG/SF
124539-84709,C,Mitchell,Mitchell Robinson,Robinson,19.735294117647058,17,4300,NY@IND,NY,IND,Q,Ankle,,,,C
124539-171751,SF/SG,Max,Max Christie,Christie,20.58148193359375,27,4300,DET@DAL,DAL,DET,,,,,,SG/SF
124539-188428,PG,Scoot,Scoot Henderson,Henderson,24.895454175544508,66,4200,SAC@POR,POR,SAC,O,Hamstring,,,,PG
124539-188451,C,Tristan,Tristan Vukcevic,Vukcevic,12.580952962239584,21,4200,WAS@SA,WAS,SA,,,,,,C
124539-23169,C,Steven,Steven Adams,Adams,21.926316110711348,19,4200,HOU@NO,HOU,NO,,,,,,C
124539-171672,SG,AJ,AJ Green,Green,18.954166412353516,24,4200,TOR@MIL,MIL,TOR,Q,Shoulder,,,,SG
124539-158373,PG,Jose,Jose Alvarado,Alvarado,19.26923076923077,26,4200,HOU@NO,NO,HOU,,,,,,PG
124539-111273,SF/SG,Luguentz,Luguentz Dort,Dort,17.58823529411765,17,4200,LAC@OKC,OKC,LAC,,,,,,SG/SF
124539-207562,SF/PF,Spencer,Spencer Jones,Jones,10.476190476190476,21,4200,ORL@DEN,DEN,ORL,,,,,,SF/PF
124539-110315,SF/SG,Terance,Terance Mann,Mann,20.226087487262227,23,4200,MIA@BKN,BKN,MIA,,,,,,SG/SF
124539-171780,SG/PG,Jaden,Jaden Ivey,Ivey,14.209091186523438,11,4200,DET@DAL,DET,DAL,,,,,,PG/SG
